Keyword,dhq_total_keyword_count,jca_total_keyword_count,jooch_total_keyword_count,total_keyword_count,Significance score,Rank,Year,# of articles keyword DHQ,# of articles keyword JCA,# of articles keyword JOCCH,Size,DHQ_yearly_total,JCA_yearly_total,JOOCH_yearly_total
data,25,9,37,71,1.0,1,2010,1.0,0.0,1.0,48,22,0.0,10.0
visualization,28,3,23,54,1.0,2,2019,7.0,0.0,4.0,47,39,28.0,32.0
data,25,9,37,71,1.0,1,2011,1.0,0.0,3.0,48,20,0.0,20.0
data,25,9,37,71,1.0,1,2020,6.0,2.0,2.0,48,68,26.0,44.0
visualization,28,3,23,54,1.0,2,2011,0.0,0.0,3.0,47,20,0.0,20.0
data,25,9,37,71,1.0,1,2019,2.0,2.0,3.0,48,39,28.0,32.0
data,25,9,37,71,1.0,1,2014,3.0,0.0,1.0,48,28,0.0,21.0
data,25,9,37,71,1.0,1,2022,1.0,1.0,9.0,48,79,16.0,74.0
data,25,9,37,71,1.0,1,2015,0.0,0.0,3.0,48,34,0.0,33.0
data,25,9,37,71,1.0,1,2023,2.0,1.0,6.0,48,41,19.0,86.0
visualization,28,3,23,54,1.0,2,2020,5.0,1.0,1.0,47,68,26.0,44.0
data,25,9,37,71,1.0,1,2018,2.0,0.0,2.0,48,62,13.0,17.0
visualization,28,3,23,54,1.0,2,2018,3.0,0.0,1.0,47,62,13.0,17.0
data,25,9,37,71,1.0,1,2013,1.0,0.0,1.0,48,30,0.0,24.0
visualization,28,3,23,54,1.0,2,2013,1.0,0.0,1.0,47,30,0.0,24.0
data,25,9,37,71,1.0,1,2017,0.0,1.0,3.0,48,54,7.0,32.0
information,3,4,15,22,1.0,3,2018,2.0,0.0,1.0,46,62,13.0,17.0
visualization,28,3,23,54,1.0,2,2015,0.0,0.0,2.0,47,34,0.0,33.0
visualization,28,3,23,54,1.0,2,2022,1.0,0.0,6.0,47,79,16.0,74.0
information,3,4,15,22,1.0,3,2015,0.0,0.0,2.0,46,34,0.0,33.0
data,25,9,37,71,1.0,1,2009,1.0,0.0,0.0,48,47,0.0,6.0
visualization,28,3,23,54,1.0,2,2009,1.0,0.0,0.0,47,47,0.0,6.0
data,25,9,37,71,1.0,1,2021,5.0,1.0,0.0,48,69,32.0,60.0
visualization,28,3,23,54,1.0,2,2021,5.0,1.0,0.0,47,69,32.0,60.0
information,3,4,15,22,1.0,3,2019,0.0,0.0,3.0,46,39,28.0,32.0
data,25,9,37,71,1.0,1,2016,0.0,1.0,1.0,48,53,11.0,17.0
visualization,28,3,23,54,1.0,2,2016,1.0,1.0,0.0,47,53,11.0,17.0
visualization,28,3,23,54,1.0,2,2017,2.0,0.0,1.0,47,54,7.0,32.0
information,3,4,15,22,1.0,3,2016,0.0,0.0,2.0,46,53,11.0,17.0
distribution,2,2,4,8,1.0,4,2016,0.0,0.0,2.0,45,53,11.0,17.0
information,3,4,15,22,1.0,3,2013,0.0,0.0,1.0,46,30,0.0,24.0
visualization,28,3,23,54,1.0,2,2023,2.0,0.0,2.0,47,41,19.0,86.0
information,3,4,15,22,1.0,3,2011,1.0,0.0,0.0,46,20,0.0,20.0
information,3,4,15,22,1.0,3,2023,0.0,1.0,3.0,46,41,19.0,86.0
visualization,28,3,23,54,1.0,2,2014,0.0,0.0,1.0,47,28,0.0,21.0
information,3,4,15,22,1.0,3,2014,0.0,0.0,1.0,46,28,0.0,21.0
distribution,2,2,4,8,1.0,4,2022,1.0,1.0,1.0,45,79,16.0,74.0
information,3,4,15,22,1.0,3,2022,0.0,1.0,1.0,46,79,16.0,74.0
distribution,2,2,4,8,1.0,4,2019,1.0,0.0,0.0,45,39,28.0,32.0
distribution,2,2,4,8,1.0,4,2017,0.0,0.0,1.0,45,54,7.0,32.0
information,3,4,15,22,1.0,3,2020,0.0,1.0,0.0,46,68,26.0,44.0
information,3,4,15,22,1.0,3,2021,0.0,1.0,0.0,46,69,32.0,60.0
distribution,2,2,4,8,1.0,4,2021,0.0,1.0,0.0,45,69,32.0,60.0
model,9,1,34,44,0.9,5,2010,1.0,0.0,2.0,44,22,0.0,10.0
model,9,1,34,44,0.9,5,2015,1.0,0.0,3.0,44,34,0.0,33.0
model,9,1,34,44,0.9,5,2011,1.0,0.0,2.0,44,20,0.0,20.0
model,9,1,34,44,0.9,5,2012,0.0,0.0,1.0,44,28,0.0,12.0
graph,3,1,3,7,0.9,9,2012,1.0,0.0,0.0,40,28,0.0,12.0
representation,8,5,17,30,0.9,6,2016,1.0,0.0,3.0,43,53,11.0,17.0
modeling,5,1,6,12,0.9,8,2010,1.0,0.0,0.0,41,22,0.0,10.0
number,2,1,1,4,0.9,10,2010,1.0,0.0,0.0,39,22,0.0,10.0
modeling,5,1,6,12,0.9,8,2014,1.0,0.0,2.0,41,28,0.0,21.0
modeling,5,1,6,12,0.9,8,2013,2.0,0.0,0.0,41,30,0.0,24.0
model,9,1,34,44,0.9,5,2020,0.0,1.0,5.0,44,68,26.0,44.0
representation,8,5,17,30,0.9,6,2021,1.0,0.0,7.0,43,69,32.0,60.0
model,9,1,34,44,0.9,5,2018,1.0,0.0,2.0,44,62,13.0,17.0
representation,8,5,17,30,0.9,6,2018,2.0,0.0,1.0,43,62,13.0,17.0
model,9,1,34,44,0.9,5,2023,0.0,0.0,6.0,44,41,19.0,86.0
representation,8,5,17,30,0.9,6,2009,1.0,0.0,0.0,43,47,0.0,6.0
machine learning,7,5,12,24,0.9,7,2009,1.0,0.0,0.0,42,47,0.0,6.0
model,9,1,34,44,0.9,5,2022,1.0,0.0,5.0,44,79,16.0,74.0
machine learning,7,5,12,24,0.9,7,2022,0.0,1.0,5.0,42,79,16.0,74.0
representation,8,5,17,30,0.9,6,2023,1.0,3.0,1.0,43,41,19.0,86.0
machine learning,7,5,12,24,0.9,7,2020,1.0,1.0,2.0,42,68,26.0,44.0
model,9,1,34,44,0.9,5,2017,2.0,0.0,1.0,44,54,7.0,32.0
graph,3,1,3,7,0.9,9,2013,0.0,0.0,1.0,40,30,0.0,24.0
representation,8,5,17,30,0.9,6,2011,0.0,0.0,1.0,43,20,0.0,20.0
model,9,1,34,44,0.9,5,2021,1.0,0.0,3.0,44,69,32.0,60.0
machine learning,7,5,12,24,0.9,7,2021,3.0,0.0,1.0,42,69,32.0,60.0
machine learning,7,5,12,24,0.9,7,2019,1.0,1.0,0.0,42,39,28.0,32.0
representation,8,5,17,30,0.9,6,2015,0.0,0.0,1.0,43,34,0.0,33.0
model,9,1,34,44,0.9,5,2014,0.0,0.0,1.0,44,28,0.0,21.0
representation,8,5,17,30,0.9,6,2014,0.0,0.0,1.0,43,28,0.0,21.0
graph,3,1,3,7,0.9,9,2014,1.0,0.0,0.0,40,28,0.0,21.0
representation,8,5,17,30,0.9,6,2022,1.0,1.0,1.0,43,79,16.0,74.0
model,9,1,34,44,0.9,5,2016,0.0,0.0,1.0,44,53,11.0,17.0
machine learning,7,5,12,24,0.9,7,2016,0.0,1.0,0.0,42,53,11.0,17.0
machine learning,7,5,12,24,0.9,7,2018,1.0,0.0,0.0,42,62,13.0,17.0
modeling,5,1,6,12,0.9,8,2018,1.0,0.0,0.0,41,62,13.0,17.0
machine learning,7,5,12,24,0.9,7,2023,0.0,1.0,1.0,42,41,19.0,86.0
graph,3,1,3,7,0.9,9,2023,0.0,1.0,1.0,40,41,19.0,86.0
modeling,5,1,6,12,0.9,8,2021,0.0,0.0,2.0,41,69,32.0,60.0
number,2,1,1,4,0.9,10,2021,1.0,1.0,0.0,39,69,32.0,60.0
model,9,1,34,44,0.9,5,2019,1.0,0.0,0.0,44,39,28.0,32.0
representation,8,5,17,30,0.9,6,2019,0.0,0.0,1.0,43,39,28.0,32.0
representation,8,5,17,30,0.9,6,2017,1.0,0.0,0.0,43,54,7.0,32.0
modeling,5,1,6,12,0.9,8,2017,0.0,1.0,0.0,41,54,7.0,32.0
graph,3,1,3,7,0.9,9,2017,1.0,0.0,0.0,40,54,7.0,32.0
representation,8,5,17,30,0.9,6,2020,0.0,1.0,0.0,43,68,26.0,44.0
number,2,1,1,4,0.9,10,2023,0.0,0.0,1.0,39,41,19.0,86.0
modeling,5,1,6,12,0.9,8,2022,0.0,0.0,1.0,41,79,16.0,74.0
graph,3,1,3,7,0.9,9,2022,0.0,0.0,1.0,40,79,16.0,74.0
text mining,4,1,1,6,0.85,12,2009,2.0,0.0,0.0,37,47,0.0,6.0
analyze,8,2,7,17,0.85,11,2022,3.0,1.0,1.0,38,79,16.0,74.0
analyze,8,2,7,17,0.85,11,2011,0.0,0.0,1.0,38,20,0.0,20.0
analyze,8,2,7,17,0.85,11,2017,0.0,0.0,2.0,38,54,7.0,32.0
analyze,8,2,7,17,0.85,11,2015,0.0,0.0,1.0,38,34,0.0,33.0
analyze,8,2,7,17,0.85,11,2020,2.0,0.0,0.0,38,68,26.0,44.0
text mining,4,1,1,6,0.85,12,2016,1.0,0.0,0.0,37,53,11.0,17.0
analyze,8,2,7,17,0.85,11,2016,1.0,0.0,0.0,38,53,11.0,17.0
analyze,8,2,7,17,0.85,11,2018,0.0,0.0,1.0,38,62,13.0,17.0
analyze,8,2,7,17,0.85,11,2021,1.0,1.0,0.0,38,69,32.0,60.0
analyze,8,2,7,17,0.85,11,2019,0.0,0.0,1.0,38,39,28.0,32.0
text mining,4,1,1,6,0.85,12,2017,0.0,0.0,1.0,37,54,7.0,32.0
text mining,4,1,1,6,0.85,12,2023,1.0,0.0,0.0,37,41,19.0,86.0
analyze,8,2,7,17,0.85,11,2023,1.0,0.0,0.0,38,41,19.0,86.0
text mining,4,1,1,6,0.85,12,2021,0.0,1.0,0.0,37,69,32.0,60.0
classification,4,1,5,10,0.8,20,2008,0.0,0.0,1.0,29,6,0.0,12.0
analysis,26,6,29,61,0.8,13,2017,7.0,0.0,2.0,36,54,7.0,32.0
analysis,26,6,29,61,0.8,13,2013,1.0,0.0,2.0,36,30,0.0,24.0
computational methods,22,15,5,42,0.8,14,2016,1.0,1.0,3.0,35,53,11.0,17.0
computational methods,22,15,5,42,0.8,14,2020,4.0,5.0,0.0,35,68,26.0,44.0
analysis,26,6,29,61,0.8,13,2012,1.0,0.0,0.0,36,28,0.0,12.0
computational methods,22,15,5,42,0.8,14,2012,0.0,0.0,1.0,35,28,0.0,12.0
interpretation,17,1,9,27,0.8,16,2009,2.0,0.0,0.0,33,47,0.0,6.0
interpretation,17,1,9,27,0.8,16,2012,1.0,0.0,0.0,33,28,0.0,12.0
analysis,26,6,29,61,0.8,13,2019,1.0,1.0,4.0,36,39,28.0,32.0
evaluation,3,1,24,28,0.8,15,2015,0.0,0.0,3.0,34,34,0.0,33.0
map,6,3,9,18,0.8,17,2015,1.0,0.0,2.0,32,34,0.0,33.0
classification,4,1,5,10,0.8,20,2010,0.0,0.0,1.0,29,22,0.0,10.0
analysis,26,6,29,61,0.8,13,2022,3.0,2.0,5.0,36,79,16.0,74.0
analysis,26,6,29,61,0.8,13,2020,5.0,0.0,2.0,36,68,26.0,44.0
analysis,26,6,29,61,0.8,13,2014,0.0,0.0,3.0,36,28,0.0,21.0
computational methods,22,15,5,42,0.8,14,2021,6.0,3.0,0.0,35,69,32.0,60.0
analysis,26,6,29,61,0.8,13,2011,0.0,0.0,2.0,36,20,0.0,20.0
interpretation,17,1,9,27,0.8,16,2011,1.0,0.0,1.0,33,20,0.0,20.0
map,6,3,9,18,0.8,17,2011,0.0,0.0,2.0,32,20,0.0,20.0
analysis,26,6,29,61,0.8,13,2016,0.0,1.0,2.0,36,53,11.0,17.0
analysis,26,6,29,61,0.8,13,2018,2.0,0.0,1.0,36,62,13.0,17.0
computational methods,22,15,5,42,0.8,14,2018,2.0,1.0,0.0,35,62,13.0,17.0
analysis,26,6,29,61,0.8,13,2021,4.0,1.0,2.0,36,69,32.0,60.0
evaluation,3,1,24,28,0.8,15,2021,2.0,0.0,5.0,34,69,32.0,60.0
analysis,26,6,29,61,0.8,13,2015,0.0,0.0,2.0,36,34,0.0,33.0
computational methods,22,15,5,42,0.8,14,2022,3.0,4.0,0.0,35,79,16.0,74.0
analysis,26,6,29,61,0.8,13,2009,1.0,0.0,0.0,36,47,0.0,6.0
evaluation,3,1,24,28,0.8,15,2014,0.0,0.0,2.0,34,28,0.0,21.0
map,6,3,9,18,0.8,17,2009,1.0,0.0,0.0,32,47,0.0,6.0
evaluation,3,1,24,28,0.8,15,2017,1.0,0.0,2.0,34,54,7.0,32.0
interpretation,17,1,9,27,0.8,16,2016,2.0,0.0,0.0,33,53,11.0,17.0
map,6,3,9,18,0.8,17,2016,0.0,0.0,2.0,32,53,11.0,17.0
interpretation,17,1,9,27,0.8,16,2021,2.0,0.0,3.0,33,69,32.0,60.0
network analysis,8,2,2,12,0.8,18,2022,4.0,0.0,1.0,31,79,16.0,74.0
evaluation,3,1,24,28,0.8,15,2018,0.0,0.0,2.0,34,62,13.0,17.0
computational methods,22,15,5,42,0.8,14,2013,1.0,0.0,0.0,35,30,0.0,24.0
evaluation,3,1,24,28,0.8,15,2013,0.0,0.0,1.0,34,30,0.0,24.0
interpretation,17,1,9,27,0.8,16,2013,0.0,0.0,1.0,33,30,0.0,24.0
network analysis,8,2,2,12,0.8,18,2013,1.0,0.0,0.0,31,30,0.0,24.0
quantitative analysis,2,4,4,10,0.8,19,2013,0.0,0.0,1.0,30,30,0.0,24.0
analysis,26,6,29,61,0.8,13,2023,1.0,1.0,2.0,36,41,19.0,86.0
evaluation,3,1,24,28,0.8,15,2023,0.0,0.0,4.0,34,41,19.0,86.0
map,6,3,9,18,0.8,17,2023,1.0,3.0,0.0,32,41,19.0,86.0
correlation,2,2,1,5,0.8,22,2011,0.0,0.0,1.0,27,20,0.0,20.0
interpretation,17,1,9,27,0.8,16,2020,2.0,0.0,1.0,33,68,26.0,44.0
quantitative analysis,2,4,4,10,0.8,19,2021,1.0,1.0,2.0,30,69,32.0,60.0
computational methods,22,15,5,42,0.8,14,2019,2.0,0.0,0.0,35,39,28.0,32.0
evaluation,3,1,24,28,0.8,15,2019,0.0,0.0,2.0,34,39,28.0,32.0
interpretation,17,1,9,27,0.8,16,2019,2.0,0.0,0.0,33,39,28.0,32.0
interpretation,17,1,9,27,0.8,16,2017,1.0,0.0,1.0,33,54,7.0,32.0
interpretation,17,1,9,27,0.8,16,2015,0.0,0.0,1.0,33,34,0.0,33.0
quantitative analysis,2,4,4,10,0.8,19,2015,0.0,0.0,1.0,30,34,0.0,33.0
classification,4,1,5,10,0.8,20,2015,1.0,0.0,0.0,29,34,0.0,33.0
computational methods,22,15,5,42,0.8,14,2014,1.0,0.0,0.0,35,28,0.0,21.0
interpretation,17,1,9,27,0.8,16,2014,1.0,0.0,0.0,33,28,0.0,21.0
map,6,3,9,18,0.8,17,2014,1.0,0.0,0.0,32,28,0.0,21.0
network analysis,8,2,2,12,0.8,18,2021,1.0,2.0,0.0,31,69,32.0,60.0
classification,4,1,5,10,0.8,20,2014,1.0,0.0,0.0,29,28,0.0,21.0
frequency,2,1,2,5,0.8,21,2014,0.0,0.0,1.0,28,28,0.0,21.0
interpretation,17,1,9,27,0.8,16,2022,1.0,1.0,1.0,33,79,16.0,74.0
classification,4,1,5,10,0.8,20,2022,1.0,0.0,2.0,29,79,16.0,74.0
evaluation,3,1,24,28,0.8,15,2016,0.0,0.0,1.0,34,53,11.0,17.0
frequency,2,1,2,5,0.8,21,2016,0.0,0.0,1.0,28,53,11.0,17.0
interpretation,17,1,9,27,0.8,16,2018,1.0,0.0,0.0,33,62,13.0,17.0
map,6,3,9,18,0.8,17,2018,0.0,0.0,1.0,32,62,13.0,17.0
computational methods,22,15,5,42,0.8,14,2023,1.0,1.0,0.0,35,41,19.0,86.0
network analysis,8,2,2,12,0.8,18,2023,1.0,0.0,1.0,31,41,19.0,86.0
quantitative analysis,2,4,4,10,0.8,19,2023,0.0,2.0,0.0,30,41,19.0,86.0
evaluation,3,1,24,28,0.8,15,2022,0.0,1.0,1.0,34,79,16.0,74.0
quantitative analysis,2,4,4,10,0.8,19,2022,1.0,1.0,0.0,30,79,16.0,74.0
map,6,3,9,18,0.8,17,2019,0.0,0.0,1.0,32,39,28.0,32.0
network analysis,8,2,2,12,0.8,18,2019,1.0,0.0,0.0,31,39,28.0,32.0
correlation,2,2,1,5,0.8,22,2019,1.0,0.0,0.0,27,39,28.0,32.0
computational methods,22,15,5,42,0.8,14,2017,1.0,0.0,0.0,35,54,7.0,32.0
classification,4,1,5,10,0.8,20,2017,0.0,1.0,0.0,29,54,7.0,32.0
correlation,2,2,1,5,0.8,22,2017,0.0,1.0,0.0,27,54,7.0,32.0
evaluation,3,1,24,28,0.8,15,2020,0.0,0.0,1.0,34,68,26.0,44.0
map,6,3,9,18,0.8,17,2020,0.0,0.0,1.0,32,68,26.0,44.0
correlation,2,2,1,5,0.8,22,2020,0.0,1.0,0.0,27,68,26.0,44.0
interpretation,17,1,9,27,0.8,16,2023,1.0,0.0,0.0,33,41,19.0,86.0
classification,4,1,5,10,0.8,20,2023,0.0,0.0,1.0,29,41,19.0,86.0
frequency,2,1,2,5,0.8,21,2023,1.0,0.0,0.0,28,41,19.0,86.0
correlation,2,2,1,5,0.8,22,2023,1.0,0.0,0.0,27,41,19.0,86.0
variability,1,1,1,3,0.8,23,2023,0.0,0.0,1.0,26,41,19.0,86.0
map,6,3,9,18,0.8,17,2021,1.0,0.0,0.0,32,69,32.0,60.0
map,6,3,9,18,0.8,17,2022,1.0,0.0,0.0,32,79,16.0,74.0
classification,4,1,5,10,0.8,20,2021,1.0,0.0,0.0,29,69,32.0,60.0
frequency,2,1,2,5,0.8,21,2021,1.0,0.0,0.0,28,69,32.0,60.0
frequency,2,1,2,5,0.8,21,2022,0.0,1.0,0.0,28,79,16.0,74.0
variability,1,1,1,3,0.8,23,2021,0.0,1.0,0.0,26,69,32.0,60.0
variability,1,1,1,3,0.8,23,2022,1.0,0.0,0.0,26,79,16.0,74.0
pattern,4,1,9,14,0.75,25,2012,0.0,0.0,1.0,24,28,0.0,12.0
pattern,4,1,9,14,0.75,25,2018,1.0,0.0,2.0,24,62,13.0,17.0
interaction,3,1,10,14,0.75,24,2009,1.0,0.0,0.0,25,47,0.0,6.0
interaction,3,1,10,14,0.75,24,2011,0.0,0.0,1.0,25,20,0.0,20.0
pattern,4,1,9,14,0.75,25,2023,1.0,0.0,2.0,24,41,19.0,86.0
pattern,4,1,9,14,0.75,25,2014,0.0,0.0,1.0,24,28,0.0,21.0
interaction,3,1,10,14,0.75,24,2014,0.0,0.0,1.0,25,28,0.0,21.0
interaction,3,1,10,14,0.75,24,2021,0.0,0.0,3.0,25,69,32.0,60.0
interaction,3,1,10,14,0.75,24,2020,0.0,1.0,1.0,25,68,26.0,44.0
interaction,3,1,10,14,0.75,24,2016,1.0,0.0,0.0,25,53,11.0,17.0
interaction,3,1,10,14,0.75,24,2018,1.0,0.0,0.0,25,62,13.0,17.0
interaction,3,1,10,14,0.75,24,2022,0.0,0.0,2.0,25,79,16.0,74.0
pattern,4,1,9,14,0.75,25,2017,1.0,0.0,0.0,24,54,7.0,32.0
interaction,3,1,10,14,0.75,24,2017,0.0,0.0,1.0,25,54,7.0,32.0
pattern,4,1,9,14,0.75,25,2020,0.0,1.0,0.0,24,68,26.0,44.0
interaction,3,1,10,14,0.75,24,2023,0.0,0.0,1.0,25,41,19.0,86.0
pattern,4,1,9,14,0.75,25,2021,0.0,0.0,1.0,24,69,32.0,60.0
pattern,4,1,9,14,0.75,25,2022,1.0,0.0,0.0,24,79,16.0,74.0
metadata,9,2,25,36,0.7,26,2008,0.0,0.0,2.0,23,6,0.0,12.0
metadata,9,2,25,36,0.7,26,2014,2.0,0.0,2.0,23,28,0.0,21.0
metadata,9,2,25,36,0.7,26,2023,0.0,1.0,8.0,23,41,19.0,86.0
metadata,9,2,25,36,0.7,26,2021,2.0,0.0,5.0,23,69,32.0,60.0
network,7,3,1,11,0.7,34,2015,2.0,0.0,0.0,15,34,0.0,33.0
metadata,9,2,25,36,0.7,26,2019,1.0,0.0,2.0,23,39,28.0,32.0
accessibility,5,1,7,13,0.7,32,2016,1.0,0.0,1.0,17,53,11.0,17.0
metadata,9,2,25,36,0.7,26,2017,1.0,0.0,2.0,23,54,7.0,32.0
network,7,3,1,11,0.7,34,2021,3.0,2.0,0.0,15,69,32.0,60.0
accessibility,5,1,7,13,0.7,32,2018,2.0,0.0,0.0,17,62,13.0,17.0
scale,2,2,6,10,0.7,35,2018,1.0,1.0,0.0,14,62,13.0,17.0
metadata,9,2,25,36,0.7,26,2020,2.0,1.0,0.0,23,68,26.0,44.0
metadata,9,2,25,36,0.7,26,2022,1.0,0.0,3.0,23,79,16.0,74.0
use cases,2,1,3,6,0.7,36,2017,1.0,0.0,1.0,13,54,7.0,32.0
accessibility,5,1,7,13,0.7,32,2023,0.0,1.0,2.0,17,41,19.0,86.0
scale,2,2,6,10,0.7,35,2023,0.0,1.0,2.0,14,41,19.0,86.0
scale,2,2,6,10,0.7,35,2014,0.0,0.0,1.0,14,28,0.0,21.0
accessibility,5,1,7,13,0.7,32,2020,2.0,0.0,0.0,17,68,26.0,44.0
metadata,9,2,25,36,0.7,26,2016,0.0,0.0,1.0,23,53,11.0,17.0
use cases,2,1,3,6,0.7,36,2018,1.0,0.0,0.0,13,62,13.0,17.0
network,7,3,1,11,0.7,34,2023,0.0,1.0,1.0,15,41,19.0,86.0
accessibility,5,1,7,13,0.7,32,2022,0.0,0.0,2.0,17,79,16.0,74.0
accessibility,5,1,7,13,0.7,32,2019,0.0,0.0,1.0,17,39,28.0,32.0
scale,2,2,6,10,0.7,35,2019,0.0,0.0,1.0,14,39,28.0,32.0
scale,2,2,6,10,0.7,35,2017,1.0,0.0,0.0,14,54,7.0,32.0
network,7,3,1,11,0.7,34,2017,1.0,0.0,0.0,15,54,7.0,32.0
use cases,2,1,3,6,0.7,36,2023,0.0,0.0,1.0,13,41,19.0,86.0
accessibility,5,1,7,13,0.7,32,2021,0.0,0.0,1.0,17,69,32.0,60.0
use cases,2,1,3,6,0.7,36,2022,0.0,1.0,0.0,13,79,16.0,74.0
scale,2,2,6,10,0.7,35,2021,0.0,0.0,1.0,14,69,32.0,60.0
scale,2,2,6,10,0.7,35,2022,0.0,0.0,1.0,14,79,16.0,74.0
network,7,3,1,11,0.7,34,2022,1.0,0.0,0.0,15,79,16.0,74.0
